City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Hobyo,SO,78.4,Clouds,5.3505,48.5268,Halane Hotel and Restaurent
4,Vaini,TO,77.16,Clouds,-21.2,-175.2,Keleti Beach Resort
11,Kapaa,US,84.18,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Caiaponia,BR,76.89,Clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
15,Riohacha,CO,82.26,Clouds,11.5444,-72.9072,Hotel Taroa
24,Kimbe,PG,82.17,Clouds,-5.5502,150.1429,Kimbe Bay Hotel
29,Birao,CF,77.25,Clouds,10.2849,22.7882,
35,Kota Kinabalu,MY,82.38,Clouds,5.9749,116.0724,Gaya Centre Hotel
46,Mitsamiouli,KM,76.1,Clear,-11.3847,43.2844,Foyer ADM
49,Luwuk,ID,82.44,Clouds,-0.9516,122.7875,Hotel Santika Luwuk
51,Merauke,ID,79.72,Clouds,-8.4667,140.3333,
54,Puerto Ayora,EC,75.54,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Meadow Lake,US,86.77,Clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
61,Brownsville,US,86.11,Clouds,25.9018,-97.4975,University Inn & Suites
62,Bubaque,GW,78.71,Clear,11.2833,-15.8333,"Casa Dora, Bubaque"
66,Kununurra,AU,75.18,Clear,-15.7667,128.7333,Hotel Kununurra
68,Hithadhoo,MV,81.88,Clouds,-0.6,73.0833,Scoop Guest House
70,Kuching,MY,79.02,Rain,1.55,110.3333,The Ranee Boutique Suites
72,Atuona,PF,78.93,Clouds,-9.8,-139.0333,Villa Enata
73,Behbahan,IR,76.32,Clear,30.5959,50.2417,شهرکدامداران ماهشهر
77,Lorengau,PG,82.74,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,San Patricio,US,86.09,Clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
91,Lagunas,PE,77.04,Clouds,-5.2269,-75.6753,Hospedaje Eco
95,Butaritari,KI,83.91,Rain,3.0707,172.7902,Isles Sunset Lodge
96,Salalah,OM,79.5,Clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
100,Tual,ID,81.91,Clouds,-5.6667,132.75,Grand Vilia Hotel
101,Hilo,US,80.8,Clouds,19.7297,-155.09,Hilo Hawaiian Hotel
102,Susanville,US,78.64,Clear,40.4163,-120.65299999999999,Red Lion Inn & Suites Susanville
104,Key Largo,US,79.02,Clouds,25.0865,-80.4473,Bayside Inn Key Largo
105,Alofi,NU,80.49,Clouds,-19.0595,-169.9187,Taloa Heights
110,Bathsheba,BB,81.21,Clouds,13.2167,-59.5167,Atlantis Hotel
111,Placido De Castro,BR,76.98,Clouds,-10.3353,-67.1856,Hotel Carioca
117,Morehead,US,82.15,Clouds,37.2711,-87.1764,CCI Express Inn
120,Kavieng,PG,80.65,Rain,-2.5744,150.7967,Nusa Island Retreat
124,Kieta,PG,78.17,Rain,-6.2167,155.6333,Uruna Bay Retreat
125,Honiara,SB,76.37,Rain,-9.4333,159.95,Heritage Park Hotel
126,Kahului,US,81.84,Clouds,20.8947,-156.47,Maui Seaside Hotel
127,Sabang,ID,84.13,Clouds,5.8933,95.3214,Hotel Citra
135,Cimitarra,CO,78.78,Rain,6.3142,-73.9497,HOTEL CARARE PLAZA
147,Statesboro,US,89.4,Clear,32.4488,-81.7832,Holiday Inn Statesboro-University Area
151,Georgetown,MY,80.53,Clouds,5.4112,100.3354,Cititel Penang
152,Pringsewu,ID,76.03,Clouds,-5.3582,104.9744,Urban Style by Front One
156,Salinas,US,81.57,Clouds,36.6777,-121.6555,Laurel Inn & Conference Center
162,Mizdah,LY,79.02,Clouds,31.4451,12.9801,محمدالمبروك الاريقط
168,Miramar,US,82.02,Clouds,25.9873,-80.2323,Miramar
169,Kibala,TD,80.55,Clear,9.1104,18.3463,hotel safari
172,Bozhou,CN,77.16,Clouds,33.8772,115.7703,Haitian Hotel
173,Dalbandin,PK,81.84,Clear,28.8947,64.4101,Sanjrani House
176,Padang,ID,77.95,Clouds,-0.9492,100.3543,Mercure Padang
178,Tungi,BD,82.4,Clouds,23.89,90.4058,Grand Dhaka Hotel
180,Rock Sound,BS,77.07,Clouds,24.9,-76.2,Rock Sound Club
183,Aripuana,BR,75.31,Clouds,-9.1667,-60.6333,
185,Havelock,US,80.98,Clouds,34.8791,-76.9013,Sherwood Motel
187,Kavaratti,IN,83.35,Clouds,10.5669,72.642,Hotels in Lakshadweep Islands
188,Karratha,AU,75.92,Clouds,-20.7377,116.8463,ibis Styles Karratha
190,Isangel,VU,76.8,Clouds,-19.55,169.2667,Tanna Lodge
192,Presidente Medici,BR,75.18,Clear,-11.1753,-61.9014,Oliveira Palace Hotel
195,Nhulunbuy,AU,77.61,Clouds,-12.2333,136.7667,East Arnhem Real Estate
197,Avarua,CK,84.25,Rain,-21.2078,-159.775,Paradise Inn
199,Namatanai,PG,78.33,Rain,-3.6667,152.4333,Seagulls Inn Namatani
201,Guerrero,MX,79.95,Clouds,17.6667,-100.0,Villaxochilt
203,Port Hedland,AU,77.05,Clouds,-20.3167,118.5667,The Esplanade Hotel
205,Manggar,ID,82.83,Clouds,-2.8833,108.2667,Guest Hotel
206,Artesia,US,86.99,Clear,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
207,Gat,IL,75.4,Clear,31.61,34.7642,OlusHome
209,Tautira,PF,86.02,Clouds,-17.7333,-149.15,Pension Oaoa
210,Tikrit,IQ,85.01,Clear,34.6071,43.6782,فندق تكريت بلازا
212,Puerto Escondido,MX,84.43,Clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
214,Sur,OM,86.0,Clear,22.5667,59.5289,Sur Plaza Hotel
216,Lufilufi,WS,89.38,Clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
217,Zhangzhou,CN,84.13,Clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
223,Jalu,LY,77.67,Clouds,29.0331,21.5482,صاحبة الفخامة
225,Harper,LR,79.16,Clouds,4.375,-7.7169,Screensaver
228,Yazd,IR,75.31,Clear,31.8972,54.3675,Mozaffar Traditional Hotel
231,Nishihara,JP,81.68,Clouds,26.1842,127.7558,Minshuku Agaihama
232,Lompoc,US,76.14,Clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
234,Kutum,SD,81.61,Clouds,14.2,24.6667,Dibbo areaمنطقة دبو
235,Maningrida,AU,77.77,Clouds,-12.0667,134.2667,Dhukurrdji Lodge
236,Muisne,EC,76.68,Clouds,0.6,-80.0333,Quinta Samay
240,Lao Cai,VN,78.93,Clouds,22.4833,103.95,Legend Hotel
244,Urumqi,CN,76.15,Clear,43.801,87.6005,Hua Ling Grand Hotel Urumqi
247,Luganville,VU,78.28,Clouds,-15.5333,167.1667,The Espiritu Hotel
249,Gorontalo,ID,83.44,Clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
252,Rosarito,MX,78.4,Clear,32.3333,-117.0333,Hotel Festival Plaza Rosarito
253,Diamantino,BR,77.36,Clouds,-14.4086,-56.4461,Hotel Delta
254,Lagos,NG,80.92,Clouds,6.5833,3.75,
262,Altamira,BR,76.84,Clouds,-3.2033,-52.2064,Requinte Hotel
264,Faanui,PF,81.05,Clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
265,Shawnee,US,75.29,Clouds,39.05,-95.7669,Fairfield Inn by Marriott Topeka
266,Panaba,MX,81.81,Clouds,21.2833,-88.2667,Posada rosario
267,Calderitas,MX,84.99,Clouds,18.55,-88.25,Hotel Hacienda Campestre
269,Kalmunai,LK,78.12,Clouds,7.4167,81.8167,VS Villa
270,Cairns,AU,80.11,Clouds,-16.9167,145.7667,Mantra Trilogy Cairns
274,Victoria,HK,89.33,Clouds,22.2855,114.1577,Mini Hotel Central
275,Elko,US,76.05,Clear,41.0002,-115.5012,
277,San Policarpo,PH,83.46,Clouds,12.1791,125.5072,JM Lodge
284,Samarai,PG,78.66,Clouds,-10.6167,150.6667,Nuli Sapi
287,Loa Janan,ID,78.08,Rain,-0.583,117.095,Pondok hijau 2A
289,Kailua,US,87.21,Clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
290,Jagdalpur,IN,78.62,Clouds,19.0667,82.0333,STARiHOTELS Geedam Road
295,Biak,ID,80.35,Clouds,-0.9131,122.8766,Penginapan Kim
297,Ternate,ID,82.96,Clouds,0.8,127.4,Grand Dafam Bela Ternate
301,Bilma,NE,84.72,Clear,18.6853,12.9164,Expeditions Ténére voyages
302,Iralaya,HN,84.29,Clouds,15.0,-83.2333,Iglesia morava renovada
305,Touros,BR,77.9,Clouds,-5.1989,-35.4608,INN NEW HORIZON
310,Sterling,US,79.09,Clear,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
312,Vila Velha,BR,75.15,Clouds,-20.3297,-40.2925,Quality Suites Vila Velha
318,Bara,NG,84.54,Clouds,10.3744,10.7288,
321,Sorong,ID,79.92,Clouds,-0.8833,131.25,waigo splash hotel
323,Concepcion De Buenos Aires,MX,75.67,Clouds,19.9667,-103.2667,HOTEL CONSTITUCIÓN
328,Oussouye,SN,77.18,Clear,12.485,-16.5469,Auberge du Routard
332,Bengkulu,ID,76.48,Clouds,-3.8004,102.2655,Grage Hotel Bengkulu
333,Mutis,CO,79.74,Rain,6.2262,-77.4044,Paraiso Escondido
336,Santa Rosa,PH,87.12,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
337,Mayor Pablo Lagerenza,PY,80.91,Clouds,-19.9309,-60.7718,
347,Virginia Beach,US,82.42,Clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
349,Thomaston,US,83.32,Clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
351,Parkersburg,US,77.47,Clouds,39.2667,-81.5615,The Blennerhassett Hotel
359,Hambantota,LK,80.4,Clouds,6.1241,81.1185,Bungalow 63
364,Jaguey Grande,CU,81.82,Clouds,22.5269,-81.1286,Hostal lleana
365,Cayenne,GF,76.08,Clouds,4.9333,-52.3333,Hôtel Le Dronmi
369,Pangkalanbuun,ID,78.78,Clouds,-2.6833,111.6167,Grand Kecubung Hotel
371,Axim,GH,80.08,Rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
373,San Jose,US,80.96,Clear,37.3394,-121.895,The Westin San Jose
374,Dingle,PH,84.25,Rain,10.9995,122.6711,SEGAYA PROPERTY
380,Oranjestad,AW,82.35,Clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
385,Phan Thiet,VN,79.81,Clouds,10.9333,108.1,Hotel Saigon-PT
387,Keti Bandar,PK,83.46,Clear,24.1447,67.4497,Haji laloo memon house
388,San Pedro De Macoris,DO,83.01,Clouds,18.4616,-69.2972,Apartahotel Guaraguao
389,Zlitan,LY,75.51,Clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
391,Marawi,PH,75.65,Clouds,7.9986,124.2928,Derogongan Residence
392,Maragogi,BR,76.68,Clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
393,Pitimbu,BR,75.79,Clouds,-7.4706,-34.8086,Reserva do Abiaí
395,Elat,IL,80.44,Clear,29.5581,34.9482,Club Hotel Eilat
397,Cockburn Town,TC,78.98,Clear,21.4612,-71.1419,Osprey Beach Hotel
398,Coahuayana,MX,85.8,Clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
399,Kudahuvadhoo,MV,83.89,Clouds,2.6708,72.8944,Niyama Private Islands Maldives
401,Pacific Grove,US,81.16,Clouds,36.6177,-121.9166,Lovers Point Inn
406,Dasoguz,TM,76.95,Clear,41.8363,59.9666,Hotel Erik
409,Kloulklubed,PW,84.56,Clouds,7.0419,134.2556,Storyboard Beach Resort
412,Sibu,MY,77.31,Clouds,2.3,111.8167,RH HOTEL (4 Star)
415,Neiafu,TO,79.48,Clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
416,Dossor,KZ,77.25,Clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
420,Mettur,IN,76.48,Clear,11.8,77.8,Hotel Akash Residency
421,Bentiu,SS,79.32,Clouds,9.2333,29.8333,Mandela hôtel
423,Tabas,IR,79.27,Clear,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
425,Dodge City,US,75.63,Clouds,37.7528,-100.0171,Windsor Inn & Suites
428,Port Moresby,PG,80.02,Clouds,-9.4431,147.1797,Lamana Hotel
430,Port Blair,IN,82.11,Clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
431,Mogadishu,SO,78.31,Clouds,2.0371,45.3438,Hotel Juba
432,Bowmore,US,89.19,Clouds,34.9421,-79.3031,
434,Monrovia,LR,78.57,Clouds,6.3005,-10.7969,Sunset Inn
437,Totolapa,MX,85.93,Clouds,18.5167,-96.1833,Tepaxtli
442,Tabou,CI,79.48,Clouds,4.423,-7.3528,hotêl doufoulougou
443,Sulphur,US,84.81,Clouds,30.2366,-93.3774,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
454,Chengam,IN,77.95,Clouds,12.3,78.8,C.T.S.Lodge
455,Gustavo Diaz Ordaz,MX,88.03,Clear,26.2333,-98.5833,Chikas En El Hotel
456,Makakilo City,US,85.75,Clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
458,Goure,NE,80.38,Clouds,13.9835,10.2704,
463,Kattivakkam,IN,87.08,Clouds,13.2167,80.3167,Raj's villa
468,Fare,PF,80.24,Clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
474,Sao Miguel Do Araguaia,BR,76.86,Clear,-13.275,-50.1628,Hotel Executivo Palace
477,Aquiraz,BR,82.49,Clouds,-3.9014,-38.3911,Pousada Rua Camurupim
478,South Venice,US,84.06,Clear,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
479,Sibolga,ID,76.62,Clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
480,Umm Kaddadah,SD,84.06,Clouds,13.6017,26.6876,
482,Manta,EC,76.78,Clouds,-0.95,-80.7333,Balandra Hotel
483,Porto Velho,BR,78.85,Rain,-8.7619,-63.9039,Hotel Central
485,Tutoia,BR,79.5,Clouds,-2.7619,-42.2744,Pousada Guará's
486,Sampit,ID,80.46,Clear,-2.5333,112.95,Aquarius Boutique Hotel Sampit
487,Sindou,BF,83.73,Clouds,10.6667,-5.1667,LERABA HOTEL
489,Southern Pines,US,88.25,Clouds,35.174,-79.3923,"Holiday Inn Express & Suites Southern Pines-Pinehurst Area, an IHG Hotel"
490,Sola,VU,77.45,Clouds,-13.8833,167.55,Leumerus Bungalows
491,Warora,IN,89.38,Clouds,20.2333,79.0,Datta mandir ward
493,Bahia Honda,CU,78.21,Clouds,22.9036,-83.1592,Casa Gualberto - Deysi
496,Ahvaz,IR,85.95,Clear,31.3203,48.6693,tashrifat tourism travel agency
500,Labuhan,ID,80.19,Clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
508,Matara,LK,78.82,Clouds,5.9485,80.5353,Amaloh Boutique Resort
513,Salinopolis,BR,79.39,Clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
523,Hamilton,US,78.89,Clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
524,Riyadh,SA,89.74,Clear,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
525,Thinadhoo,MV,84.67,Clouds,0.5333,72.9333,
533,Pipri,IN,78.31,Clouds,19.8,75.5333,Sukhana River nilu and rushi home
536,Bhachau,IN,83.57,Clouds,23.2833,70.35,Amrut Bagh Resort
537,Bawku,GH,88.27,Clouds,11.0616,-0.2417,Ultimate Guest House
538,Avera,US,89.71,Clouds,33.194,-82.5271,
541,Hope,US,85.51,Clouds,33.6671,-93.5916,Best Western Hope
543,Natal,BR,79.02,Clouds,-5.795,-35.2094,Villa Park Hotel | Natal
546,Dubai,AE,86.22,Clear,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
548,Gwadar,PK,85.6,Clear,25.1216,62.3254,Sadaf Resort
549,Conceicao Do Araguaia,BR,80.73,Clear,-8.2578,-49.2647,Tarumã Tropical Hotel
551,Atar,MR,87.67,Clear,20.5169,-13.0499,Oumou Elghoura
556,Umm Lajj,SA,85.23,Clouds,25.0213,37.2685,Moon light Furnished Units
559,Chiang Khong,TH,75.52,Clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
560,Ambon,ID,80.74,Clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
562,Port-Gentil,GA,78.76,Clouds,-0.7193,8.7815,Fengshui Residence
566,Pak Phanang,TH,78.82,Clouds,8.3511,100.20200000000001,Green Park Inn Hotel
567,La Asuncion,VE,78.53,Clouds,11.0333,-63.8628,Colinas de Matasiete
569,Sao Jose Da Coroa Grande,BR,76.93,Clouds,-8.8978,-35.1478,Crôa Mares Hotel
573,Santa Cruz Del Norte,CU,80.73,Clouds,23.1539,-81.9236,Felipon Pon Pon
580,Meulaboh,ID,76.55,Clouds,4.1363,96.1285,Kost Pria
583,Boa Vista,BR,78.78,Clouds,2.8197,-60.6733,Aipana Plaza Hotel
584,Houma,US,84.0,Clouds,29.5958,-90.7195,Courtyard by Marriott Houma
586,Puerto El Triunfo,SV,87.96,Clouds,13.2833,-88.55,Hotel Jardin
593,Half Moon Bay,US,79.54,Clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
596,Saint-Georges,GD,82.08,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
597,Awbari,LY,86.31,Clear,26.5921,12.7805,فندق أوباري
598,Takaungu,KE,75.15,Clouds,-3.6837,39.8566,Takaungu House
600,San Andres,CO,84.22,Clouds,12.5847,-81.7006,Hotel Arena Blanca
601,Lotofaga,WS,89.38,Clouds,-13.9764,-171.8578,Sataoa Beach Fales
602,Cedar City,US,79.39,Clouds,37.6775,-113.0619,Hampton Inn Cedar City
613,Carutapera,BR,76.32,Clouds,-1.195,-46.02,Lidera
617,Baracoa,CU,77.4,Clouds,20.3467,-74.4958,Hostal Rio Miel
622,Tallahassee,US,87.89,Clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
625,Lazaro Cardenas,MX,84.96,Clouds,17.9583,-102.2,quinta antigua
626,Koforidua,GH,75.2,Clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
631,Vanimo,PG,85.39,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
632,Baghdad,IQ,82.31,Clear,33.3406,44.4009,Baghdad Hotel
633,Tabuk,PH,85.01,Clouds,17.4189,121.4443,Golden Berries Hotel and Convention
636,Miraflores,MX,78.87,Clouds,19.2167,-98.8083,Hotel Mansión
643,Barao De Melgaco,BR,82.11,Clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
646,Januaria,BR,79.07,Clouds,-15.4833,-44.3667,Hotel Paraguassu
649,Hasanabad,IR,77.81,Clouds,36.5465,61.0543,
654,Bonito,BR,78.58,Clouds,-21.1211,-56.4819,Marruá Hotel
664,Iwaki,JP,75.02,Clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
668,Sembakung,ID,79.66,Clouds,3.8167,117.25,
671,Pijijiapan,MX,85.46,Clouds,15.7011,-93.23,Hotel Rosita
672,Itoman,JP,82.42,Clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
